Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;;;
Nederland;L528;AantalGeldigeStemmen;;5726981;;
Nederland;L528;AantalOngeldigeStemmen;;122626;;
Nederland;L528;Kiesgerechtigden;;6122732;;
Nederland;L528;Opkomst;;5849607;;
Nederland;L528;Partij;PvdA;1872201;34;
Nederland;L528;Partij;KVP;1815288;33;
Nederland;L528;Partij;ARP;567529;10;
Nederland;L528;Partij;VVD;502530;9;
Nederland;L528;Partij;CHU;482915;8;
Nederland;L528;Partij;CPN;272050;4;
Nederland;L528;Partij;SGP;129515;2;
Nederland;L528;Partij;GPV;37208;;
Nederland;L528;Partij;Nationale Unie (Algemeen Christelijk);28960;;
Nederland;L528;Partij;Nederlandse Oppositie Unie;19503;;
